,opted_in_to_mailing_list,enabled_for_marketing_drip,creation_login_gap,mean_gap_length,creation_source_GUEST_INVITE,creation_source_ORG_INVITE,creation_source_PERSONAL_PROJECTS,creation_source_SIGNUP,creation_source_SIGNUP_GOOGLE_AUTH,org_size_L,org_size_M,org_size_S,org_size_XL,org_size_XS,group_size_L,group_size_M,group_size_S,group_size_XL,group_size_XS,adopted
0,1,0,0.0,100.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,False
1,0,0,0.0,10.461538461538462,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,True
2,0,0,0.0,100.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,False
3,0,0,1.0,100.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False
4,0,0,5.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,False
5,0,0,2.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
6,0,1,4.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
7,1,1,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
8,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
9,1,1,0.0,1.7773851590106007,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,True
10,0,0,1.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
11,0,0,100.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
12,0,0,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
13,0,0,1.0,100.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
14,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
15,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
16,1,0,3.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
17,0,0,100.0,100.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,False
18,1,0,1.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
19,0,0,5.0,13.166666666666666,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,True
20,0,0,0.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
21,0,0,0.0,100.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,False
22,1,0,1.0,100.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,False
23,1,0,0.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
24,1,0,0.0,1.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False
25,0,0,100.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
26,0,0,1.0,100.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,False
27,0,0,3.0,100.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,False
28,0,0,1.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
29,0,0,0.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
30,0,0,1.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
31,1,1,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
32,0,0,0.0,4.764705882352941,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,True
33,0,0,100.0,100.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,False
34,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
35,1,0,0.0,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False
36,0,0,1.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
37,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
38,1,0,100.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
39,0,0,100.0,100.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,False
40,0,0,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
41,1,0,2.0,1.6363636363636365,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,True
42,0,0,1.0,14.857142857142858,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,True
43,0,0,1.0,100.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
44,1,0,1.0,100.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False
45,0,0,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
46,1,1,1.0,100.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,False
47,0,0,1.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
48,0,0,0.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
49,0,0,2.0,8.75,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,True
50,0,1,0.0,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,False
51,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
52,0,0,4.0,10.125,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,True
53,1,1,3.0,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False
54,0,0,2.0,100.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
55,0,0,1.0,100.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,False
56,0,0,1.0,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False
57,1,0,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,False
58,0,0,3.0,41.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
59,0,0,0.0,7.857142857142857,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
60,0,0,0.0,100.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
61,0,0,100.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
62,0,0,0.0,1.4709141274238227,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,True
63,0,0,2.0,100.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
64,0,0,2.0,100.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
65,0,0,0.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
66,0,0,1.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
67,1,0,1.0,100.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,False
68,0,0,1.0,1.3442307692307693,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,True
69,0,0,100.0,100.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False
70,0,0,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
71,0,0,2.0,100.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
72,0,0,1.0,100.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,False
